8|12|25|41|64|15|22|23|62|63|66|24
8|10|21|23|25|22|8|12|25|41|64|15
24|45|55|56|57|19|8|10|21|23|25|22
39|48|53|67|68|26|24|45|55|56|57|19
17|18|24|25|31|24|39|48|53|67|68|26
17|24|35|57|63|19|17|18|24|25|31|24
6|20|29|57|59|22|17|24|35|57|63|19
8|14|32|58|67|17|6|20|29|57|59|22
6|21|41|52|62|26|8|14|32|58|67|17
19|28|43|67|69|7|6|21|41|52|62|26
7|15|32|38|66|15|19|28|43|67|69|7
6|7|16|23|26|4|7|15|32|38|66|15
17|19|39|43|68|13|6|7|16|23|26|4
9|15|43|60|64|4|17|19|39|43|68|13
20|24|26|35|49|19|9|15|43|60|64|4
12|30|36|47|62|9|20|24|26|35|49|19
11|21|28|33|45|11|12|30|36|47|62|9
1|16|54|63|69|18|11|21|28|33|45|11
1|28|40|45|48|12|1|16|54|63|69|18
7|19|21|42|69|12|1|28|40|45|48|12
5|32|44|53|60|9|7|19|21|42|69|12
50|51|59|61|63|4|5|32|44|53|60|9
9|40|63|64|66|17|50|51|59|61|63|4
1|2|18|23|61|9|9|40|63|64|66|17
8|10|29|40|59|26|1|2|18|23|61|9
4|9|16|54|68|21|8|10|29|40|59|26
19|42|45|48|53|16|4|9|16|54|68|21
29|37|46|53|68|8|19|42|45|48|53|16
10|22|32|36|58|10|29|37|46|53|68|8
14|46|61|65|68|13|10|22|32|36|58|10
10|13|32|53|62|21|14|46|61|65|68|13
5|22|43|57|63|24|10|13|32|53|62|21
20|26|32|38|58|3|5|22|43|57|63|24
5|21|57|66|69|13|20|26|32|38|58|3
3|9|21|41|54|25|5|21|57|66|69|13
4|33|39|46|60|6|3|9|21|41|54|25
5|10|28|55|67|9|4|33|39|46|60|6
28|32|33|38|62|15|5|10|28|55|67|9
5|22|45|47|54|3|28|32|33|38|62|15
4|11|39|45|48|9|5|22|45|47|54|3
17|20|32|63|68|19|4|11|39|45|48|9
29|31|46|56|62|8|17|20|32|63|68|19
11|21|31|41|59|21|29|31|46|56|62|8
17|18|49|59|66|9|11|21|31|41|59|21
22|23|24|45|62|5|17|18|49|59|66|9
1|15|18|26|51|26|22|23|24|45|62|5
21|39|41|48|63|6|1|15|18|26|51|26
1|19|37|40|52|15|21|39|41|48|63|6
5|22|26|45|61|13|1|19|37|40|52|15
8|14|61|63|68|24|5|22|26|45|61|13
23|36|51|53|60|15|8|14|61|63|68|24
8|20|46|53|54|13|23|36|51|53|60|15
9|32|36|44|65|1|8|20|46|53|54|13
8|15|31|36|62|11|9|32|36|44|65|1
18|31|32|45|48|16|8|15|31|36|62|11
2|9|27|29|42|9|18|31|32|45|48|16
13|25|44|54|67|5|2|9|27|29|42|9
16|30|41|48|53|16|13|25|44|54|67|5
1|26|41|50|57|11|16|30|41|48|53|16
23|33|42|46|59|4|1|26|41|50|57|11
2|18|19|22|63|19|23|33|42|46|59|4
10|16|40|52|55|17|2|18|19|22|63|19
6|32|47|62|65|19|10|16|40|52|55|17
10|13|28|52|61|2|6|32|47|62|65|19
3|7|9|31|33|20|10|13|28|52|61|2
5|28|33|38|42|19|3|7|9|31|33|20
5|9|17|37|64|2|5|28|33|38|42|19
14|20|42|49|66|5|5|9|17|37|64|2
6|13|16|17|52|25|14|20|42|49|66|5
9|43|57|60|64|10|6|13|16|17|52|25
12|20|39|49|69|17|9|43|57|60|64|10
18|28|62|66|68|22|12|20|39|49|69|17
23|25|45|52|67|2|18|28|62|66|68|22
9|40|41|53|58|12|23|25|45|52|67|2
23|55|59|64|69|13|9|40|41|53|58|12
1|3|13|16|43|24|23|55|59|64|69|13
3|12|24|37|63|10|1|3|13|16|43|24
16|17|29|41|42|4|3|12|24|37|63|10
1|3|28|57|67|9|16|17|29|41|42|4
16|23|30|44|58|4|1|3|28|57|67|9
28|38|42|51|52|21|16|23|30|44|58|4
25|33|40|54|68|3|28|38|42|51|52|21
1|8|16|40|48|10|25|33|40|54|68|3
18|26|37|39|66|15|1|8|16|40|48|10
12|21|32|44|66|15|18|26|37|39|66|15
41|48|49|53|64|20|12|21|32|44|66|15
8|10|26|27|33|22|41|48|49|53|64|20
3|14|18|25|45|7|8|10|26|27|33|22
17|19|21|37|44|16|3|14|18|25|45|7
7|32|41|47|61|3|17|19|21|37|44|16
16|24|28|43|61|21|7|32|41|47|61|3
28|41|61|63|65|7|16|24|28|43|61|21
8|17|20|27|52|24|28|41|61|63|65|7
1|25|28|31|54|2|8|17|20|27|52|24
21|31|50|51|69|8|1|25|28|31|54|2
13|18|37|54|61|5|21|31|50|51|69|8
19|20|21|42|48|23|13|18|37|54|61|5
2|3|16|48|56|24|19|20|21|42|48|23
